flavor,size,product_description,ingredients,allergens,servings_per_containter,serving_size,calories_per_serving,calories_per_pint,total_fat_per_serving,total_fat_per_pint,total_fat_daily_value_per_serving,total_fat_daily_value_per_pint,saturated_fat_per_serving,saturated_fat_per_pint,saturated_fat_daily_value_per_serving,saturated_fat_daily_value_per_pint,trans_fat_per_serving,trans_fat_per_pint,trans_fat_daily_value_per_serving,trans_fat_daily_value_per_pint,cholesterol_per_serving,cholesterol_per_pint,cholesterol_daily_value_per_serving,cholesterol_daily_value_per_pint,sodium_per_serving,sodium_per_pint,sodium_daily_value_per_serving,sodium_daily_value_per_pint,total_carbohydrate_per_serving,total_carbohydrate_per_pint,carbohydrate_daily_value_per_serving,carbohydrate_daily_value_per_pint,dietary_fiber_per_serving,dietary_fiber_per_pint,dietary_fiber_daily_value_per_serving,dietary_fiber_daily_value_per_pint,total_sugars_per_serving,total_sugars_per_pint,includes_added_sugars_per_serving,includes_added_sugars_per_pint,daily_value_added_sugars_per_serving,daily_value_added_sugars_per_pint,protein_per_serving,protein_per_pint,protein_daily_value_per_serving,protein_daily_value_per_pint,vitamind_per_serving,vitamind_per_pint,vitamind_daily_value_per_serving,vitamind_daily_value_per_pint,calcium_per_serving,calcium_per_pint,calcium_daily_value_per_serving,calcium_daily_value_per_pint,iron_per_serving,iron_per_pint,iron_daily_value_per_serving,iron_daily_value_per_pint,potassium_per_serving,potassium_per_pint,potassium_daily_value_per_serving,potassium_daily_value_per_pint,vitamin_a,vitamin_a_daily_value_per_serving,category--Ice cream,category-Frozen Custard,category--Sherbert,category--Sorbet,category-Gelato,category-Churned,category--No Fat No Sugar,category--Reduced Fat,category--Gustafson's,category--Yogurt,category--Candy,category--Caramel,category--Chocolate,category--Cookies,category--Coffee ,category--Fruit,category--Fudge,category--Mint,category--Nuts,category--Vanilla
Mint Chocolate Chip,3 Gallon,Green Mint flavored ice cream with a chocolate chips,"NONFAT MILK,  CREAM, BUTTERMILK, SUGAR, DARK  CHOCOLATE FLAVORED CHUNK  [SUGAR, COCONUT OIL, COCOA  PROCESSED WITH ALKALI, COCOA  POWDER, MILKFAT, SOY LECITHIN  (EMULSIFIER), VANILLA EXTRACT,  NATURAL FLAVOR], CORN SYRUP,  WHEY, NATURAL FLAVOR,  STABILIZER [MONO & DIGLYCERIDES,  GUAR GUM, LOCUST BEAN GUM,
CARRAGEENAN], YELLOW 5 & BLUE 1
(COLOR), SEA SALT. ","Milk, Soy",72,2/3 cup (90g),200,,11g,,14%,,8g,,40%,,0g,,,,25mg,,0%,,65mg,,0%,,23g,,0%,,1g,,0%,,19g,,0g,,0%,,0g,,,,0mg,,0%,,1mg,,0%,,0mg,,0%,,2mg,,0%,,,,x,,,,,,,,,,x,,x,,,,,x,,
Mint Mackinac Island Fudge,3 Gallon,Green Mint flavored ice cream with Chewy fudge pieces and swirled with Butter Fudge sauce,"NONFAT MILK,  CREAM, BUTTERMILK, SUGAR,  BUTTER FUDGE SWIRL [CORN  SYRUP, HIGH FRUCTOSE CORN  SYRUP, BUTTERMILK, SUGAR,  SKIM MILK, CHOCOLATE LIQUOR,  WHEY, BUTTER (CREAM, SALT),  COCOA PROCESSED WITH  ALKALI, PECTIN, MONO &  DIGLYCERIDES, SALT, SOY  LECITHIN (EMULSIFIER), XANTHAN  GUM, NATURAL FLAVOR]. FUDGE  PIECE [SUGAR, COCONUT OIL,  COCOA PROCESSED WITH  ALKALI, PEANUT OIL (REFINED),  COCOA, NATURAL FLAVOR, SOY  LECITHIN], CORN SYRUP, WHEY,  NATURAL FLAVOR, STABILIZER  [MONO & DIGLYCERIDES, GUAR  GUM, LOCUST BEAN GUM,  CARRAGEENAN], YELLOW 5  (COLOR), BLUE 1 (COLOR), SEA  SALT.","Milk, Soy",72,2/3 cup (95g),220,,11g,,14%,,89g,,40%,,0g,,,,25mg,,0%,,75mg,,0%,,27g,,0%,,1g,,0%,,23g,,0g,,0%,,0g,,,,0mg,,0%,,1mg,,0%,,0mg,,0%,,2mg,,0%,,,,x,,,,,,,,,,,,x,,,,x,x,,
Mississippi Mud,3 Gallon,Mocha flavored Coffee ice cream with crushed Chocolate Sandwich Cookies and a Chocolate Fudge Swirl,"NONFAT MILK, CREAM,  BUTTERMILK, SUGAR, MOCHA FUDGE  SWIRL [CORN SYRUP, HIGH FRUCTOSE  CORN SYRUP, BUTTERMILK, SUGAR,  CHOCOLATE LIQUOR, MILK, WHEY,  NATURAL FLAVOR, COCOA PROCESSED  WITH ALKALI, BUTTER, PECTIN, MONO  & DIGLYCERIDES, SALT, SOY LECITHIN  (EMULSIFIER), XANTHAN GUM],  CHOCOLATE FLAVORED FUDGE SWIRL  [CORN SWEETENERS (HIGH FRUCTOSE  CORN SYRUP, CORN SYRUP), WATER,  SUGAR, SWEETENED CONDENSED  SKIM MILK (SKIM MILK, SUGAR, CORN  SYRUP), COCOA PROCESSED WITH  ALKALI, BUTTER (CREAM, SALT), WHEY,  CHOCOLATE LIQUOR, MODIFIED CORN  STARCH, SODIUM ALGINATE, NATURAL  AND ARTIFICIAL FLAVORS],
CHOCOLATE SANDWICH COOKIE  [SUGAR, ENRICHED FLOUR (WHEAT
FLOUR, NIACIN, REDUCED IRON,  VITAMIN B1 {THIAMINE MONONITRATE},
VITAMIN B2 {RIBOFLAVIN},  FOLIC ACID),
SOYBEAN AND PALM OIL WITH TBHQ  FOR FRESHNESS, COCOA PROCESSED  WITH ALKALI, INVERT SUGAR,  CONTAINS 2% OR LESS OF  DEGERMINATED YELLOW CORN  FLOUR, CORNSTARCH, CHOCOLATE,  SALT, LEAVENING (BAKING SODA,  MONOCALCIUM PHOSPHATE), SALT,  ARTIFICIAL FLAVOR, SOY LECITHIN  (EMULSIFIER), WHEY], CORN SYRUP,  WHEY, STABILIZER [MONO &  DIGLYCERIDES, GUAR GUM, LOCUST  BEAN GUM, CARRAGEENAN], COFFEE  FLAVOR EXTRACT [NATURAL FLAVOR,  INVERT SUGAR SYRUP], SEA SALT.","Milk, Wheat, Soy",72,2/3 cup (98g),230,,10g,,13%,,69g,,30%,,0g,,,,25mg,,0%,,105mg,,0%,,33g,,0%,,1g,,0%,,26g,,0g,,0%,,0g,,,,0mg,,0%,,1mg,,0%,,0mg,,0%,,2mg,,0%,,,,x,,,,,,,,,,,,x,x,x,,x,,,
New York Cherry,3 Gallon,New York flavored Vanilla ice cream with Maraschino Cherry pieces,"NONFAT MILK,  CREAM, BUTTERMILK, SUGAR,  MARASCHINO RED CHERRIES  [CHERRIES, HIGH FRUCTOSE CORN  SYRUP, CORN SYRUP, WATER,  SUGAR, CITRIC ACID, OIL OF BITTER  ALMOND, LOCUST BEAN GUM, RED  40, CARAGEENAN], CORN SYRUP,  WHEY, STABILIZER [MONO &  DIGLYCERIDES, GUAR GUM, LOCUST  BEAN GUM, CARRAGEENAN],  NATURAL FLAVOR, ANNATTO COLOR,  SEA SALT. ",Milk,72,2/3 cup (92g),190,,9g,,12%,,6g,,30%,,0g,,,,25mg,,0%,,65mg,,0%,,24g,,0%,,0g,,0%,,20g,,0g,,0%,,0g,,,,0mg,,0%,,1mg,,0%,,0mg,,0%,,2mg,,0%,,,,x,,,,,,,,,,,,,,,x,,,,x
Orange Pudding,3 Gallon,Orange flavored ice cream with Maraschino Cherries and Almond pieces,"Water, 70 - 30 Blend  SUGAR, CORN SYRUP,, milkfat,
anhydrous, 7 EXTRA GRADE
Contains Milk, Tree Nuts.MILK, CARLYN DAIRY  PRODUCTS, INCc. NONFAT MILK,,  ALMONDS, MEDIUM, R/S, PIECES,  TERRI LYNN ALMONDS:  [ALMONDS, COTTONSEED OIL,  SALT]., 7 MARASCHINO RED  CHERRIES, HALVES, 9101,  LEELANAU MARASCHINO RED  CHERRIES [CHERRIES, HIGH  FRUCTOSE CORN SYRUP, CORN  SYRUP, WATER, SUGAR, CITRIC  ACID, OIL OF BITTER ALMOND,  LOCUST BEAN GUM, RED 40,
CARAGEENAN]., Whey powder  WHEY,, Buttermilk Powder  BUTTERMILK,, 7 MANDARIN  ORANGE FLAVOR, NATURAL,  WONF, 22-85-0628C, E.A. WEBER  MANDARIN ORANGE FLAVOR  [NATURAL FLAVOR, WATER,  SUGAR, SALT, YELLOW 6,  XANTHAN GUM, CITRIC ACID,  GUAR GUM, SPAN 60,
POLYSORBATE 60],, Extreme Frez
2010 STABILIZER [MONO &  DIGLYCERIDES, GUAR GUM,  LOCUST BEAN GUM,
CARRAGEENAN],, Salt, Cargill SEA
SALT,.","Milk, Tree Nuts",72,2/3 cup (89g),190,,11g,,14%,,6g,,30%,,0g,,,,25mg,,0%,,85mg,,0%,,21g,,0%,,0g,,0%,,17g,,0g,,0%,,0g,,,,0mg,,0%,,1mg,,0%,,0mg,,0%,,2mg,,0%,,,,x,,,,,,,,,,,,,,,x,,,x,
Orange Twister,3 Gallon,Orange Sherbet swirled with Vanilla ice cream,"ORANGE SHERBET  [NONFAT MILK, SUGAR, WATER,  CORN SYRUP, CREAM, ORANGE  PUREE CONCENTRATE (WATER,  ORANGE JUICE CONCENTRATE,  ORANGE PULP, CORN SYRUP,  NATURAL FLAVOR, YELLOW 6
{COLOR}), WHEY, CITRIC ACID, ,  STABILIZER (GUAR GUM, MONO &  DIGLYCERIDES, XANTHAN GUM,
POLYSORBATE 80,
CARRAGEENAN), YELLOW 6
{COLOR}]. VANILLA ICE CREAM M  [NONFAT MILK, CREAM,  BUTTERMILK, SUGAR, CORN  SYRUP, WHEY, STABILIZER (MONO  & DIGLYCERIDES, GUAR GUM,  LOCUST BEAN GUM,  CARRAGEENAN], VANILLA  EXTRACT, ARTIFICIAL FLAVOR,  SEA SALT, ANNATTO EXTRACT  (COLOR)]. ",Milk,72,2/3 cup (101g),170,,6g,,8%,,4.5g,,23%,,0g,,,,20mg,,0%,,50mg,,0%,,27g,,0%,,0g,,0%,,22g,,0g,,0%,,0g,,,,0mg,,0%,,1mg,,0%,,0mg,,0%,,1mg,,0%,,,,x,,,,,,,,,,,,,,,x,,,,x
Peanut Butter Cup,3 Gallon,Peanut Butter and Chocolate fudge swirled in Peanut Butter ice cream with Peanut Butter Cups,"NONFAT MILK,  CREAM, BUTTERMILK, PEANUT  BUTTER SWIRL [PEANUTS,  SUGAR, PEANUT OIL, SALT],  SUGAR, CHOCOLATE FLAVORED  FUDGE SWIRL [CORN  SWEETENERS (HIGH FRUCTOSE  CORN SYRUP, CORN SYRUP),  WATER, SUGAR, SWEETENED  CONDENSED SKIM MILK (SKIM  MILK, SUGAR, CORN SYRUP),  COCOA PROCESSED WITH  ALKALI, BUTTER (CREAM, SALT),  WHEY POWDER, CHOCOLATE  LIQUOR, MODIFIED CORN  STARCH, SODIUM ALGINATE,  NATURAL AND ARTIFICIAL  FLAVORS], CORN SYRUP, PEANUT  BUTTER CUPS [MILK CHOCOLATE  (SUGAR, COCOA BUTTER,  CHOCOLATE LIQUOR, MILK, SOY  LECITHIN {EMULSIFIER}, VANILLA  EXTRACT), PEANUT BUTTER,  SUGAR, PALM KERNEL OIL,  LACTOSE, SALT, SOY LECITHIN  (EMULSIFIER)], WHEY, STABILIZER  [MONO & DIGLYCERIDES, GUAR  GUM, LOCUST BEAN GUM,  CARRAGEENAN], CARAMEL  COLOR, SEA SALT.","Milk, Peanut, Soy",72,2/3 cup (96g),270,,17g,,22%,,7g,,35%,,0g,,,,25mg,,0%,,170mg,,0%,,26g,,0%,,1g,,0%,,20g,,0g,,0%,,1g,,,,0mg,,0%,,1mg,,0%,,0mg,,0%,,3mg,,0%,,,,x,,,,,,,,,,x,,x,,,,x,,,
Peanut Butter Mackinac Island Fudge,3 Gallon,Peanut Butter flavored ice cream with a thick fudge ribbon with Chocolate Peanut Truffle pieces,"NONFAT MILK,  CREAM, BUTTERMILK, SUGAR,  FUDGE FLAVORED SWIRL  [SUGAR, PEANUT OIL, COCOA  PROCESSED WITH ALKALI, WHEY  POWDER, SALT, SOY LECITHIN  (EMULSIFIER)], PEANUT BUTTER  BASE[PEANUTS,SUGAR,PEANUT  OIL, SALT], CHOCO PEANUT  TRUFFLE [SUGAR, COCONUT OIL,  DEXTROSE, COCOA, PEANUT OIL,  COCOA PROCESSED WITH  ALKALI, CORN STARCH, SALT, SOY  LECITHIN (EMULSIFIER)), CORN  SYRUP, WHEY, STABILIZER [MONO  & DIGLYCERIDES, GUAR GUM,  LOCUST BEAN GUM,  CARRAGEENAN], SEA SALT.  ","Milk, Peanut, Soy",72,2/3 cup (95g),270,,16g,,21%,,8g,,40%,,0g,,,,25mg,,0%,,135mg,,0%,,27g,,0%,,1g,,0%,,22g,,0g,,0%,,0g,,,,0mg,,0%,,1mg,,0%,,0mg,,0%,,2mg,,0%,,,,x,,,,,,,,,,,,x,,,,x,,,
Pirates Bounty,3 Gallon,M&M's Chocolate Candies and Chocolate Sandwich Cookies in Caramel flavored ice cream,"NONFAT MILK, CREAM,  BUTTERMILK, SUGAR, CORN SYRUP,  CHOCOLATE SANDWICH COOKIE  [SUGAR, ENRICHED FLOUR (WHEAT  FLOUR, NIACIN, REDUCED IRON,  VITAMIN B1 {THIAMINE  MONONITRATE}, VITAMIN B2
{RIBOFLAVIN}, FOLIC ACID). SOYBEANAN  AND PALM OIL WITH TBHQ FOR  FRESHNESS,COCOAPROCESSED  WITH ALKALI, INVERT SUGAR,
CONTAINS 2% OR LESS OF  DEGERMINATED YELLOW CORN
FLOUR, CORNSTARCH, CHOCOLATE,  SALT, LEAVENING (BAKING SODA,
MONOCALCIUM PHOSPHATE), SALT,  ARTIFICIAL FLAVOR, SOY LECITHIN
(EMULSIFIER), WHEY], CARAMEL  BASE [CORN SYRUP, SUGAR, WATER,
BUTTER (CREAM, SALT),  CONDENSED SKIM MILK, CARAMEL
COLOR, ANNATTO COLOR, NATURAL  AND ARTIFICIAL FLAVORING,  CARRAGEENAN], MILK CHOCOLATE  CANDIES [MILK CHOCOLATE (SUGAR,  CHOCOLATE, SKIM MILK, COCOA
BUTTER, LACTOSE, MILKFAT, SOY  LECITHIN, SALT, ARTIFICIAL AND  NATURAL FLAVORS), SUGAR,  CORNSTARCH, LESS THAN 1% OF  CORN SYRUP, DEXTRIN, COLORING  (BLUE 1 LAKE, YELLOW 6, RED 40,
YELLOW 5, BLUE 1, YELLOW 6 LAKE,  RED 40 LAKE, YELLOW 5 LAKE, BLUE  2 LAKE, BLUE 2), CARNAUBA WAX,
GUM ACACIA], WHEY, STABILIZER  [MONO & DIGLYCERIDES, GUAR GUM,
LOCUST BEAN GUM,  CARRAGEENAN], SEA SALT.  ","Milk, Soy, Wheat",72,2/3 cup (92g),220,,11g,,14%,,7g,,35%,,0g,,,,25mg,,0%,,100mg,,0%,,27g,,0%,,0g,,0%,,21g,,0g,,0%,,0g,,,,0mg,,0%,,1mg,,0%,,0mg,,0%,,2mg,,0%,,,,x,,,,,,,,,,x,x,x,x,,,,,,
Pistachio Almond,3 Gallon,Pistachio flavored ice cream with Diced Almonds,"NONFAT MILK,  CREAM, BUTTERMILK, SUGAR,  ALMONDS [ALMONDS,  COTTONSEED OIL, SALT], CORN  SYRUP, WHEY, STABILIZER [MONO  & DIGLYCERIDES, GUAR GUM,  LOCUST BEAN GUM,  CARRAGEENAN], FLAVOR BLEND  [TURMERIC (COLOR), NATURAL  FLAVOR, HIGH FRUCTOSE CORN  SYRUP, BLUE 1 (COLOR)), YELLOW  5 (COLOR), BLUE 1 (COLOR), SEA  SALT. ","Milk, Treenuts (Almonds)",72,2/3 cup (86g),200,,13g,,17%,,6g,,30%,,0g,,,,25mg,,0%,,85mg,,0%,,19g,,0%,,1g,,0%,,15g,,0g,,0%,,0g,,,,0mg,,0%,,1mg,,0%,,0mg,,0%,,2mg,,0%,,,,x,,,,,,,,,,,,,,,,,,x,
Playdough,3 Gallon,Blue Moon ice crea sprinkled with Multi-Colored Cookie Dough pieces,"NONFAT MILK,  CREAM, BUTTERMILK, SUGAR,  COLORED COOKIE DOUGH  [UNENRICHED WHEAT FLOUR,  SUGAR, PALM OIL, BROWN  SUGAR, WATER, POWDERED  SUGAR (SUGAR, CORN STARCH),  SOY LECITHIN (EMULSIFIER),  SALT, BAKING SODA, BLUE 1 LAKE  (COLOR), RED 3 (COLOR),  NATURAL AND ARTIFICIAL  FLAVOR], CORN SYRUP, WHEY,  NATURAL AND ARTIFICIAL  FLAVORS, BLUE 1 (COLOR),  STABILIZER [MONO-AND  DIGLYCERIDES, GUAR GUM,  LOCUST BEAN GUM,  CARRAGEENAN], SEA SALT.  ","Milk, Soy, Wheat",72,2/3 cup (94g),220,,12g,,15%,,7g,,35%,,0g,,,,25mg,,0%,,85mg,,0%,,26g,,0%,,0g,,0%,,19g,,0g,,0%,,0g,,,,0mg,,0%,,1mg,,0%,,0mg,,0%,,2mg,,0%,,,,x,,,,,,,,,,x,,,,,,,,,
Praline Pecan ,3 Gallon,Butterscotch Fudge Swirled in Vanilla ice cream mixed with Praline Pecans,"NONFAT MILK,  CREAM, BUTTERMILK, SUGAR,  BUTTERSCOTCH SWIRL [CORN  SWEETENERS (CORN AND HIGH  FRUCTOSE CORN SYRUPS),  SWEETENED CONDENSED SKIM  MILK (SKIM MILK, SUGAR, CORN  SYRUP), WATER, BUTTER  (CREAM, SALT), SALT, SODIUM  ALGINATE, SODIUM CITRATE,  MONO AND DIGLYCERIDES,  XANTHAN GUM, SODIUM  BICARBONATE], CORN SYRUP,  PRALINE PECANS [SUGAR, -­  PECANS, BUTTER (CREAM), SALT,  CARAMEL COLOR], WHEY,  STABILIZER [MONO &  DIGLYCERIDES, GUAR GUM,  LOCUST BEAN GUM,  CARRAGEENAN], VANILLA  EXTRACT, ARTIFICIAL FLAVOR,  SEA SALT.","Milk, Treenuts (Pecans)",72,2/3 cup (95g),210,,11g,,14%,,7g,,35%,,0g,,,,25mg,,0%,,130mg,,0%,,28g,,0%,,0g,,0%,,22g,,0g,,0%,,0g,,,,0mg,,0%,,1mg,,0%,,0mg,,0%,,2mg,,0%,,,,x,,,,,,,,,,,,,,,,,,x,x
Rocky Road,3 Gallon,Chopped Almonds in Chocolate Ice Cream with a Marshmellow Swirl,"Nonfat Milk,  Buttermilk, Cream, Sugar,  Corn Syrup, Whey, Natural  Flavors, Whey Protein Isolate,  Polysorbate 80, Cellulose  Gum, Carrageenan, Almonds  Roasted in Vegetable Oil  (Peanut, Cottonseed, Partially  Hydrogenated Soybean  and/or Sunflower Seed),  Cocoa (Processed with  Alkali), Guar Gum, Mono &  Diglycerides, Xanthan Gum,  Artificial Flavor, Salt","Milk,Peanut, Soy,  Almonds.",96,1/2 cup (67g),160,,8g,,12%,,4g,,20%,,0g,,0%,,15mg,,0%,,45mg,,0%,,22g,,0%,,1g,,0%,,18g,,,,,,3g,,0%,,,,,,0mg,,0%,,0mg,,,,,,,,,,x,,,,,,,,,,x,,,,,,,,x,
Scotcheroo,3 Gallon,Butterscotch Flavored Ice Creamwith Milk Chocolate flavored coated Crisped Rice and a Peanut Butter Swirl,"NON FAT MILK,  CREAM, BUTTERMILK, PEANUT  BUTTER SWIRL [PEANUTS,  SUGAR, SOYBEAN OIL, COCONUT  OIL, AND SALT], SUGAR, MILK  CHOCOALTE CRISPED RICE [MILK  CHOCOLATE (SUGAR, COCOA  BUTTER, CHOCOLATE, MILK, SOY  LECITHIN {EMULSIFIER}, SEA  SALT, VANILLA EXTRACT),  CRISPED RICE (MILLED RICE,  SUGAR, SALT, BARLEY MALT)],  BUTTERSCOTCH BASE [CORN  SYRUP, WATER, SUGAR, NONFAT  DRY MILK, CORN STARCH,  NATURALFLAVORS,CARAMEL  COLOR, SALT AND ANNATTO  EXTRACT (COLOR)], CORN SYRUP,  WHEY, STABILIZER [MONO &  DIGLYCERIDES, GUAR GUM,  LOCUST BEAN GUM,  CARRAGEENAN], SEA SALT.  ","Milk, Soy, Peanuts",72,2/3 Cup (93g),250,,14g,,18%,,7g,,35%,,0g,,,,20mg,,0%,,160mg,,0%,,28g,,0%,,1g,,0%,,22g,,0g,,0%,,0g,,,,0mg,,0%,,1mg,,0%,,0mg,,0%,,2mg,,0%,,,,x,,,,,,,,,,x,,x,,,,,,,
Seaturtle,3 Gallon,Chocolate ice cream with a Sea Salt Caramel and Roasted Pecans,"NONFAT MILK,  BUTTERMILK, CREAM, SUGAR,  SEA SALT CARAMEL SWIRL [CORN  SYRUP, SWEETENED CONDENSED  WHOLE MILK, (MILK, SUGAR),  SUGAR,WATER,BUTTER(CREAM,  SALT), SEA SALT, PECTIN,  NATURAL FLAVOR], PECANS  [PECANS, COCONUT OIL, BUTTER,  SALT], CORN SYRUP, COCOA  PROCESSED WITH ALKALI, WHEY,  STABILIZER [GUAR GUM, MONO &  DIGLYCERIDES, XANTHAN GUM,  POLYSORBATE 80,  CARRAGEENAN], SEA SALT.  ","Milk, Treenuts (Pecans)",72,2/3 cup (94g),240,,14g,,18%,,7g,,35%,,0g,,,,25mg,,0%,,170mg,,0%,,25g,,0%,,2g,,0%,,18g,,0g,,0%,,0g,,,,0mg,,0%,,1mg,,0%,,0mg,,0%,,3mg,,0%,,,,x,,,,,,,,,,,x,x,,,,,,x,
Shipwreck,3 Gallon,Vanilla ice cream with a Sea Salt Caramel Ribbon and Candied Almond Splinters,"NONFAT MILK,  CREAM, BUTTERMILK, SUGAR,  SEA SALT CARAMEL SWIRL [CORN  SYRUP, SWEETENED CONDENSED  WHOLE MILK, (MILK, SUGAR),  SUGAR,WATER,BUTTER(CREAM,  SALT), SEA SALT, PECTIN,  NATURAL FLAVOR], HONEY  ROASTED ALMONDS [ALMONDS,  NUT COATER (SUGAR, CORN  STARCH), HONEY GLAZE  (TAPIOCA DEXTRIN, SUGAR,  MALTODEXTRIN, BROWN SUGAR,  HONEY SOLIDS, 2% OR LESS OF  SILICON DIOXIDE {ANTI-CAKING  AGENT}), COTTONSEED OIL,  DEHYDRATED HONEY (HONEY,  MALTODEXTRIN), SALT], CORN  SYRUP, WHEY, STABILIZER [MONO  & DIGLYCERIDES, GUAR GUM,  LOCUST BEAN GUM,  CARRAGEENAN], VANILLA  EXTRACT, ARTIFICIAL FLAVOR,  SEA SALT. ","MILK, Treenuts (Almonds)",72,2/3 cup (92g),220,,13g,,17%,,6g,,30%,,0g,,,,25mg,,0%,,150mg,,0%,,25g,,0%,,1g,,0%,,18g,,0g,,0%,,0g,,,,0mg,,0%,,1mg,,0%,,0mg,,0%,,2mg,,0%,,,,x,,,,,,,,,,,x,,,,,,,x,x
Spumoni,3 Gallon,"Vanilla, Chocolate, and Green Rum flavored ice cream with Fruits and Nuts","NONFAT MILK,  CREAM, BUTTERMILK, SUGAR,  CORN SYRUP, SPUMONI FRUIT  [CORN SYRUP, PINEAPPLE,  PEACHES, CHERRIES, ALMONDS,  WATER, SUGAR, RAISINS,  MODIFIED CORN STARCH,  NATURAL FLAVORS, ARTIFICIAL  FLAVORS, RED 40 (COLOR)],  WHEY, COCOA PROCESSED WITH  ALKALI, CHERRY FLAVOR  [CHERRY JUICE CONCENTRATE,  NATURAL FLAVOR, RED 40  (COLOR)], STABILIZER [MONO &  DIGLYCERIDES, GUAR GUM,  LOCUST BEAN GUM,  CARRAGEENAN], PISTACHIO  FLAVOR [TURMERIC (COLOR),  NATURAL FLAVOR, BLUE 1  (COLOR)], STABILIZER [GUAR  GUM, MONO & DIGLYCERIDES,  XANTHAN GUM, POLYSORBATE  80, CARRAGEENAN], YELLOW 5
(COLOR), BLUE 1 (COLOR), RED 40  (COLOR), SEASALT. ","MILK, Treenuts (Almonds)",72,2/3 cup (91g),180,,10g,,13%,,7g,,35%,,0g,,,,25mg,,0%,,70mg,,0%,,21g,,0%,,0g,,0%,,17g,,0g,,0%,,0g,,,,0mg,,0%,,1mg,,0%,,0mg,,0%,,2mg,,0%,,,,x,,,,,,,,,,,,x,,,x,,,x,x
Strawberry,3 Gallon,Strawberry flavored ice cram swirled with Real Strawberries,"NONFAT MILK,  CREAM, BUTTERMILK,  STRAWBERRIES [STRAWBERRIES,  SUGAR, LOCUST BEAN GUM,  CITRIC ACID, XANTHAN GUM],  SUGAR, CORN SYRUP,  STRAWBERRY PUREE  [STRAWBERRIES, HIGH  FRUCTOSE CORN SYRUP, WATER,  SUGAR, MODIFIED CORN STARCH,  CITRIC ACID, RED 40 (COLOR)],  WHEY, STRAWBERRY FLAVOR  [NATURAL FLAVORS, WATER, GUM  TRAGACANTH, CITRIC ACID, RED  40 (COLOR)], STABILIZER [MONO &  DIGLYCERIDES, GUAR GUM,  LOCUST BEAN GUM,  CARRAGEENAN], CITRIC ACID,  SEA SALT, RED 40 AND BLUE 1  (COLOR). ",Milk,72,2/3 cup (94g),190,,9g,,12%,,6g,,30%,,0g,,,,25mg,,0%,,60mg,,0%,,23g,,0%,,0g,,0%,,19g,,0g,,0%,,0g,,,,0mg,,0%,,1mg,,0%,,0mg,,0%,,2mg,,0%,,,,x,,,,,,,,,,,,,,,x,,,,
Strawberry Cheesecake ,3 Gallon,Cheesecake Flavored Ice Cream with a Strawberry Swirl,"NONFAT MILK,  CREAM, BUTTERMILK, SUGAR,  CHEESECAKE BASE [CORN SYRUP,  WATER, NATURAL FLAVOR,  DEHYDRATED BAKERS CHEESE  (NONFAT MILK SOLIDS, LACTIC  ACID, CULTURES), BUTTERMILK  POWDER, SUGAR], STRAWBERRY  SWIRL [CORN SYRUP,  STRAWBERRIES, SUGAR, WATER,  MODIFIED CORN STARCH, NATURAL  FLAVORS, CITRIC ACID, CELLULOSE  GUM, GUAR GUM, RED 40], CORN  SYRUP, WHEY, STABILIZER [MONO &  DIGLYCERIDES, GUAR GUM,  LOCUST BEAN GUM,  CARRAGEENAN], SEA SALT.  ",Milk,72,2/3 cup (93g),190,,8g,,10%,,6g,,30%,,0g,,,,25mg,,0%,,70mg,,0%,,27g,,0%,,0g,,0%,,21g,,0g,,0%,,0g,,,,0mg,,0%,,1mg,,0%,,0mg,,0%,,2mg,,0%,,,,x,,,,,,,,,,,,,,,x,,,,
Superman,3 Gallon,"Blue Raspberry, Cherry, and Vanilla flavored ice cream","NONFAT MILK, 
BUTTERMILK, CREAM, SUGAR, CORN SYRUP, WHEY, RASPBERRY FLAVOR [WATER, CORN STARCH -MODIFIED, NATURAL AND ARTIFICIAL FLAVOR, BLUE 1 
(COLOR), CITRIC ACID], CHERRY FLAVOR [CHERRY JUICE CONCENTRATE,NATURAL FLAVOR, RED 40 (COLOR)], STABILIZER [GUAR GUM, MONO & DIGLYCERIDES, XANTHAN GUM, POLYSORBATE 80, CARRAGEENAN], YELLOW 5 
(COLOR), NATURAL AND ARTIFICIAL VANILLA FLAVOR [HIGH FRUCTOSE CORN SYRU􀀆 NATURAL &ARTIFICIAL FLAVORS, CARAMEL COLOR], COLOR [RED 40 (COLOR), CITRIC ACID, BLUE 1 (COLOR)], SEA SALT. ",Milk,72,2/3 cup (86g),160,,9g,,12%,,6g,,30%,,0g,,,,125mg,,0%,,65mg,,0%,,20g,,0%,,0g,,0%,,16g,,0g,,0%,,0g,,,,0mg,,0%,,1mg,,0%,,0mg,,0%,,2mg,,0%,,,,x,,,,,,,,,,,,,,,x,,,,x
